[12:24:36] Id:  1, MsgId:     0, xSensAcc1: 0.025856, xSensAcc2: -0.100920, xSensYaw: 0.070280, rateOfTurn: 0.012305, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[12:24:36] Id:  1, MsgId:     0, xSensAcc1: 0.044482, xSensAcc2: -0.134029, xSensYaw: 0.070257, rateOfTurn: 0.011816, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[12:24:36] Id:  1, MsgId:     0, xSensAcc1: 0.023411, xSensAcc2: -0.103691, xSensYaw: 0.070257, rateOfTurn: 0.010815, wheelSp1: %&7f, wheelSp2: -0.057893, wheelSp3: -0.000012, wheelSp4: -0.000012

[12:24:36] Id:  1, MsgId:     0, xSensAcc1: 0.039546, xSensAcc2: -0.118313, xSensYaw: 0.070303, rateOfTurn: 0.010792, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[12:24:36] Id:  1, MsgId:     0, xSensAcc1: 0.057055, xSensAcc2: -0.109558, xSensYaw: 0.070350, rateOfTurn: 0.011374, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.057893, wheelSp4: -0.000012

[12:24:36] Id:  1, MsgId:     0, xSensAcc1: 0.041618, xSensAcc2: -0.118825, xSensYaw: 0.070373, rateOfTurn: 0.011630, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[12:24:37] Id:  1, MsgId:     0, xSensAcc1: 0.031048, xSensAcc2: -0.106788, xSensYaw: 0.070373, rateOfTurn: 0.010047, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[12:24:37] Id:  1, MsgId:     0, xSensAcc1: 0.027416, xSensAcc2: -0.126346, xSensYaw: 0.070420, rateOfTurn: 0.010536, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[12:24:37] Id:  1, MsgId:     0, xSensAcc1: 0.021828, xSensAcc2: -0.126532, xSensYaw: 0.070466, rateOfTurn: 0.010955, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[12:24:37] Id:  1, MsgId:     0, xSensAcc1: 0.027043, xSensAcc2: -0.114611, xSensYaw: 0.070466, rateOfTurn: 0.011025, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[12:24:37] Id:  1, MsgId:     0, xSensAcc1: 0.035146, xSensAcc2: -0.106019, xSensYaw: 0.070489, rateOfTurn: 0.010978, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.057893, wheelSp4: -0.000012

[12:24:37] Id:  1, MsgId:     0, xSensAcc1: 0.035588, xSensAcc2: -0.116380, xSensYaw: 0.070513, rateOfTurn: 0.010792, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[12:24:37] Id:  1, MsgId:     0, xSensAcc1: 0.012026, xSensAcc2: -0.102457, xSensYaw: 0.070536, rateOfTurn: 0.010768, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[12:24:37] Id:  1, MsgId:     0, xSensAcc1: 0.027602, xSensAcc2: -0.117056, xSensYaw: 0.070629, rateOfTurn: 0.011630, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[12:24:37] Id:  1, MsgId:     0, xSensAcc1: 0.028789, xSensAcc2: -0.120199, xSensYaw: 0.070629, rateOfTurn: 0.011467, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[12:24:37] Id:  1, MsgId:     0, xSensAcc1: -0.004575, xSensAcc2: -0.120455, xSensYaw: 0.070629, rateOfTurn: 0.011257, wheelSp1: %&7f, wheelSp2: -0.057893, wheelSp3: -0.000012, wheelSp4: -0.000012

[12:24:37] Id:  1, MsgId:     0, xSensAcc1: 0.023574, xSensAcc2: -0.127417, xSensYaw: 0.070676, rateOfTurn: 0.010675, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[12:24:37] Id:  1, MsgId:     0, xSensAcc1: 0.037567, xSensAcc2: -0.129582, xSensYaw: 0.070746, rateOfTurn: 0.011444, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[12:24:37] Id:  1, MsgId:     0, xSensAcc1: 0.026717, xSensAcc2: -0.109815, xSensYaw: 0.070746, rateOfTurn: 0.011467, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[12:24:37] Id:  1, MsgId:     0, xSensAcc1: 0.029162, xSensAcc2: -0.114960, xSensYaw: 0.070746, rateOfTurn: 0.010978, wheelSp1: %&7f, wheelSp2: -0.057893, wheelSp3: -0.000012, wheelSp4: -0.000012

[12:24:37] Id:  1, MsgId:     0, xSensAcc1: 0.034866, xSensAcc2: -0.125577, xSensYaw: 0.070769, rateOfTurn: 0.010163, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[12:24:37] Id:  1, MsgId:     0, xSensAcc1: -0.013213, xSensAcc2: -0.109698, xSensYaw: 0.070769, rateOfTurn: 0.010396, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[12:24:37] Id:  1, MsgId:     0, xSensAcc1: 0.016473, xSensAcc2: -0.112283, xSensYaw: 0.070839, rateOfTurn: 0.011001, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[12:24:37] Id:  1, MsgId:     0, xSensAcc1: 0.034168, xSensAcc2: -0.124227, xSensYaw: 0.070815, rateOfTurn: 0.010605, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.057893

[12:24:37] Id:  1, MsgId:     0, xSensAcc1: 0.030186, xSensAcc2: -0.109745, xSensYaw: 0.070792, rateOfTurn: 0.009930, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[12:24:37] Id:  1, MsgId:     0, xSensAcc1: 0.045856, xSensAcc2: -0.096101, xSensYaw: 0.070839, rateOfTurn: 0.009558, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

