[14:31:01] Id: 10, MsgId:     0, xSensAcc1: 0.080804, xSensAcc2: -0.123133, xSensYaw: -3.128650, rateOfTurn: 0.014424, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[14:31:01] Id: 10, MsgId:     0, xSensAcc1: 0.078569, xSensAcc2: -0.130234, xSensYaw: -3.128650, rateOfTurn: 0.014331, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[14:31:01] Id: 10, MsgId:     0, xSensAcc1: 0.054121, xSensAcc2: -0.124413, xSensYaw: -3.128650, rateOfTurn: 0.014470, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[14:31:01] Id: 10, MsgId:     0, xSensAcc1: 0.060827, xSensAcc2: -0.140502, xSensYaw: -3.128650, rateOfTurn: 0.014331, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[14:31:01] Id: 10, MsgId:     0, xSensAcc1: 0.069069, xSensAcc2: -0.116217, xSensYaw: -3.128650, rateOfTurn: 0.014424, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[14:31:01] Id: 10, MsgId:     0, xSensAcc1: 0.069069, xSensAcc2: -0.116217, xSensYaw: -3.128650, rateOfTurn: 0.014424, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[14:31:01] Id: 10, MsgId:     0, xSensAcc1: 0.069069, xSensAcc2: -0.116217, xSensYaw: -3.128650, rateOfTurn: 0.014424, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[14:31:01] Id: 10, MsgId:     0, xSensAcc1: 0.069069, xSensAcc2: -0.116217, xSensYaw: -3.128650, rateOfTurn: 0.014424, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[14:31:01] Id: 10, MsgId:     0, xSensAcc1: 0.069069, xSensAcc2: -0.116217, xSensYaw: -3.128650, rateOfTurn: 0.014424, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[14:31:01] Id: 10, MsgId:     0, xSensAcc1: 0.069069, xSensAcc2: -0.116217, xSensYaw: -3.128650, rateOfTurn: 0.014424, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[14:31:01] Id: 10, MsgId:     0, xSensAcc1: 0.069069, xSensAcc2: -0.116217, xSensYaw: -3.128650, rateOfTurn: 0.014424, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[14:31:01] Id: 10, MsgId:     0, xSensAcc1: 0.065856, xSensAcc2: -0.119803, xSensYaw: -3.128673, rateOfTurn: 0.014238, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[14:31:01] Id: 10, MsgId:     0, xSensAcc1: 0.049348, xSensAcc2: -0.121712, xSensYaw: -3.128627, rateOfTurn: 0.014540, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[14:31:01] Id: 10, MsgId:     0, xSensAcc1: 0.081270, xSensAcc2: -0.132492, xSensYaw: -3.128627, rateOfTurn: 0.014820, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[14:31:01] Id: 10, MsgId:     0, xSensAcc1: 0.061619, xSensAcc2: -0.129861, xSensYaw: -3.128627, rateOfTurn: 0.014703, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[14:31:01] Id: 10, MsgId:     0, xSensAcc1: 0.069977, xSensAcc2: -0.126020, xSensYaw: -3.128650, rateOfTurn: 0.014051, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[14:31:02] Id: 10, MsgId:     0, xSensAcc1: 0.060594, xSensAcc2: -0.118313, xSensYaw: -3.128627, rateOfTurn: 0.014214, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[14:31:02] Id: 10, MsgId:     0, xSensAcc1: 0.074471, xSensAcc2: -0.130839, xSensYaw: -3.128627, rateOfTurn: 0.014564, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[14:31:02] Id: 10, MsgId:     0, xSensAcc1: 0.072864, xSensAcc2: -0.127719, xSensYaw: -3.128604, rateOfTurn: 0.014424, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[14:31:02] Id: 10, MsgId:     0, xSensAcc1: 0.072701, xSensAcc2: -0.124669, xSensYaw: -3.128580, rateOfTurn: 0.014820, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[14:31:02] Id: 10, MsgId:     0, xSensAcc1: 0.055961, xSensAcc2: -0.129116, xSensYaw: -3.128580, rateOfTurn: 0.014773, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[14:31:02] Id: 10, MsgId:     0, xSensAcc1: 0.072469, xSensAcc2: -0.120827, xSensYaw: -3.128557, rateOfTurn: 0.014796, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[14:31:02] Id: 10, MsgId:     0, xSensAcc1: 0.061991, xSensAcc2: -0.119756, xSensYaw: -3.128604, rateOfTurn: 0.014261, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[14:31:02] Id: 10, MsgId:     0, xSensAcc1: 0.080571, xSensAcc2: -0.126206, xSensYaw: -3.128604, rateOfTurn: 0.013702, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[14:31:02] Id: 10, MsgId:     0, xSensAcc1: 0.052422, xSensAcc2: -0.139361, xSensYaw: -3.128604, rateOfTurn: 0.013865, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[14:31:02] Id: 10, MsgId:     0, xSensAcc1: 0.071863, xSensAcc2: -0.133726, xSensYaw: -3.128627, rateOfTurn: 0.013679, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[14:31:02] Id: 10, MsgId:     0, xSensAcc1: 0.056310, xSensAcc2: -0.133540, xSensYaw: -3.128604, rateOfTurn: 0.013865, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[14:31:02] Id: 10, MsgId:     0, xSensAcc1: 0.077358, xSensAcc2: -0.126415, xSensYaw: -3.128604, rateOfTurn: 0.014214, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[14:31:02] Id: 10, MsgId:     0, xSensAcc1: 0.073586, xSensAcc2: -0.107975, xSensYaw: -3.128673, rateOfTurn: 0.013516, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[14:31:02] Id: 10, MsgId:     0, xSensAcc1: 0.075123, xSensAcc2: -0.125973, xSensYaw: -3.128673, rateOfTurn: 0.013143, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[14:31:02] Id: 10, MsgId:     0, xSensAcc1: 0.070909, xSensAcc2: -0.130653, xSensYaw: -3.128673, rateOfTurn: 0.013073, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[14:31:02] Id: 10, MsgId:     0, xSensAcc1: 0.079174, xSensAcc2: -0.126555, xSensYaw: -3.128673, rateOfTurn: 0.013725, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[14:31:02] Id: 10, MsgId:     0, xSensAcc1: 0.076194, xSensAcc2: -0.134076, xSensYaw: -3.128697, rateOfTurn: 0.013749, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[14:31:02] Id: 10, MsgId:     0, xSensAcc1: 0.070373, xSensAcc2: -0.124553, xSensYaw: -3.128673, rateOfTurn: 0.014051, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[14:31:02] Id: 10, MsgId:     0, xSensAcc1: 0.066136, xSensAcc2: -0.125484, xSensYaw: -3.128697, rateOfTurn: 0.013749, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[14:31:02] Id: 10, MsgId:     0, xSensAcc1: 0.069954, xSensAcc2: -0.129535, xSensYaw: -3.128673, rateOfTurn: 0.014098, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[14:31:02] Id: 10, MsgId:     0, xSensAcc1: 0.079942, xSensAcc2: -0.111072, xSensYaw: -3.128697, rateOfTurn: 0.014284, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[14:31:02] Id: 10, MsgId:     0, xSensAcc1: 0.063458, xSensAcc2: -0.128977, xSensYaw: -3.128697, rateOfTurn: 0.014168, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[14:31:02] Id: 10, MsgId:     0, xSensAcc1: 0.071793, xSensAcc2: -0.118895, xSensYaw: -3.128697, rateOfTurn: 0.013935, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[14:31:02] Id: 10, MsgId:     0, xSensAcc1: 0.065856, xSensAcc2: -0.120199, xSensYaw: -3.128650, rateOfTurn: 0.014447, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[14:31:02] Id: 10, MsgId:     0, xSensAcc1: 0.060245, xSensAcc2: -0.132748, xSensYaw: -3.128673, rateOfTurn: 0.014424, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[14:31:02] Id: 10, MsgId:     0, xSensAcc1: 0.058545, xSensAcc2: -0.117079, xSensYaw: -3.128697, rateOfTurn: 0.014144, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[14:31:02] Id: 10, MsgId:     0, xSensAcc1: 0.071956, xSensAcc2: -0.126881, xSensYaw: -3.128720, rateOfTurn: 0.013562, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[14:31:02] Id: 10, MsgId:     0, xSensAcc1: 0.070443, xSensAcc2: -0.131328, xSensYaw: -3.128697, rateOfTurn: 0.014051, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[14:31:02] Id: 10, MsgId:     0, xSensAcc1: 0.059174, xSensAcc2: -0.135519, xSensYaw: -3.128720, rateOfTurn: 0.014238, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[14:31:02] Id: 10, MsgId:     0, xSensAcc1: 0.065321, xSensAcc2: -0.119733, xSensYaw: -3.128697, rateOfTurn: 0.014075, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[14:31:02] Id: 10, MsgId:     0, xSensAcc1: 0.071444, xSensAcc2: -0.129070, xSensYaw: -3.128697, rateOfTurn: 0.014191, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

