[14:57:25] Id:  7, MsgId:     0, xSensAcc1: 0.499992, xSensAcc2: 0.014028, xSensYaw: 0.009534, rateOfTurn: 0.003970, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[14:57:25] Id:  7, MsgId:     0, xSensAcc1: 0.497012, xSensAcc2: 0.005157, xSensYaw: 0.009511, rateOfTurn: 0.004249, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[14:57:25] Id:  7, MsgId:     0, xSensAcc1: 0.547071, xSensAcc2: 0.004622, xSensYaw: 0.009465, rateOfTurn: 0.004319, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: 0.057870, wheelSp4: -0.000012

[14:57:25] Id:  7, MsgId:     0, xSensAcc1: 0.528840, xSensAcc2: 0.014028, xSensYaw: 0.009465, rateOfTurn: 0.004761, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[14:57:25] Id:  7, MsgId:     0, xSensAcc1: 0.503298, xSensAcc2: -0.003341, xSensYaw: 0.009441, rateOfTurn: 0.005111, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: 0.057870, wheelSp4: -0.000012

[14:57:25] Id:  7, MsgId:     0, xSensAcc1: 0.499247, xSensAcc2: -0.012957, xSensYaw: 0.009418, rateOfTurn: 0.005506, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.057893, wheelSp4: -0.000012

[14:57:25] Id:  7, MsgId:     0, xSensAcc1: 0.526116, xSensAcc2: 0.001222, xSensYaw: 0.009371, rateOfTurn: 0.005134, wheelSp1: %&7f, wheelSp2: -0.057893, wheelSp3: 0.057870, wheelSp4: -0.000012

[14:57:25] Id:  7, MsgId:     0, xSensAcc1: 0.495149, xSensAcc2: 0.008254, xSensYaw: 0.009302, rateOfTurn: 0.004482, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: 0.057870, wheelSp4: -0.000012

[14:57:25] Id:  7, MsgId:     0, xSensAcc1: 0.502833, xSensAcc2: 0.004272, xSensYaw: 0.009255, rateOfTurn: 0.004645, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: 0.057870, wheelSp4: -0.000012

[14:57:25] Id:  7, MsgId:     0, xSensAcc1: 0.505301, xSensAcc2: 0.002386, xSensYaw: 0.009278, rateOfTurn: 0.005576, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: 0.057870, wheelSp4: -0.000012

[14:57:25] Id:  7, MsgId:     0, xSensAcc1: 0.538456, xSensAcc2: 0.002969, xSensYaw: 0.009255, rateOfTurn: 0.005926, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: 0.057870, wheelSp4: -0.000012

[14:57:26] Id:  7, MsgId:     0, xSensAcc1: 0.478572, xSensAcc2: -0.012538, xSensYaw: 0.009232, rateOfTurn: 0.005832, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.057893, wheelSp4: -0.000012

[14:57:26] Id:  7, MsgId:     0, xSensAcc1: 0.482833, xSensAcc2: 0.023900, xSensYaw: 0.009162, rateOfTurn: 0.005064, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[14:57:26] Id:  7, MsgId:     0, xSensAcc1: 0.546093, xSensAcc2: 0.004319, xSensYaw: 0.009162, rateOfTurn: 0.004831, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.057893, wheelSp4: -0.000012

[14:57:26] Id:  7, MsgId:     0, xSensAcc1: 0.516803, xSensAcc2: 0.018452, xSensYaw: 0.009115, rateOfTurn: 0.004692, wheelSp1: %&7f, wheelSp2: -0.057893, wheelSp3: -0.000012, wheelSp4: -0.000012

[14:57:26] Id:  7, MsgId:     0, xSensAcc1: 0.490050, xSensAcc2: 0.015518, xSensYaw: 0.009115, rateOfTurn: 0.005041, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.057893, wheelSp4: -0.000012

[14:57:26] Id:  7, MsgId:     0, xSensAcc1: 0.513543, xSensAcc2: 0.017032, xSensYaw: 0.009092, rateOfTurn: 0.004878, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

