[12:17:44] Id:  1, MsgId:     0, xSensAcc1: -2.709299, xSensAcc2: -0.501086, xSensYaw: 0.657176, rateOfTurn: -0.283553, wheelSp1: %&7f, wheelSp2: -4.920329, wheelSp3: -4.399347, wheelSp4: -4.283583

[12:17:44] Id:  1, MsgId:     0, xSensAcc1: 1.139438, xSensAcc2: -1.454295, xSensYaw: 0.607001, rateOfTurn: -1.358881, wheelSp1: %&7f, wheelSp2: -6.656919, wheelSp3: -7.235759, wheelSp4: -7.525191

[12:17:44] Id:  1, MsgId:     0, xSensAcc1: 0.446371, xSensAcc2: -1.834577, xSensYaw: 0.505324, rateOfTurn: -2.582127, wheelSp1: %&7f, wheelSp2: -9.551213, wheelSp3: -9.203900, wheelSp4: -9.666977

[12:17:44] Id:  1, MsgId:     0, xSensAcc1: -1.755834, xSensAcc2: -0.457198, xSensYaw: 0.429165, rateOfTurn: -3.196474, wheelSp1: %&7f, wheelSp2: -10.187959, wheelSp3: -10.072195, wheelSp4: -10.535273

[12:17:44] Id:  1, MsgId:     0, xSensAcc1: -0.757247, xSensAcc2: 1.495297, xSensYaw: 0.391959, rateOfTurn: -3.386766, wheelSp1: %&7f, wheelSp2: -10.651059, wheelSp3: -10.187959, wheelSp4: -10.014291

[12:17:44] Id:  1, MsgId:     0, xSensAcc1: 0.425067, xSensAcc2: -1.507311, xSensYaw: 0.317430, rateOfTurn: -3.609632, wheelSp1: %&7f, wheelSp2: -9.782763, wheelSp3: -10.419509, wheelSp4: -10.940468

[12:17:45] Id:  1, MsgId:     0, xSensAcc1: -2.791861, xSensAcc2: -0.996108, xSensYaw: 0.244810, rateOfTurn: -3.640621, wheelSp1: %&7f, wheelSp2: -10.477390, wheelSp3: -10.477390, wheelSp4: -9.956409

[12:17:45] Id:  1, MsgId:     0, xSensAcc1: 0.442320, xSensAcc2: 0.480923, xSensYaw: 0.210933, rateOfTurn: -3.607769, wheelSp1: %&7f, wheelSp2: -10.535273, wheelSp3: -10.014291, wheelSp4: -8.740800

[12:17:45] Id:  1, MsgId:     0, xSensAcc1: -1.138251, xSensAcc2: -1.135434, xSensYaw: 0.146206, rateOfTurn: -3.459782, wheelSp1: %&7f, wheelSp2: -8.682919, wheelSp3: -8.798705, wheelSp4: -10.187959

[12:17:45] Id:  1, MsgId:     0, xSensAcc1: -1.664169, xSensAcc2: -0.670634, xSensYaw: 0.086834, rateOfTurn: -3.248348, wheelSp1: %&7f, wheelSp2: -8.335605, wheelSp3: -8.451368, wheelSp4: -8.682919

[12:17:45] Id:  1, MsgId:     0, xSensAcc1: 1.696835, xSensAcc2: 0.056589, xSensYaw: 0.059081, rateOfTurn: -3.131141, wheelSp1: %&7f, wheelSp2: -8.104054, wheelSp3: -8.740800, wheelSp4: -7.872528

