1646054173.2500126 -0.4920293749382836 3.627676034833712 -0.056286825238203164  5.0963018861511955 14.760938925021037 14.876702321067569 15.513447565484967 14.529388849849056 -3.9215686274510517 -3.9215686274510517 -11.764705882352928 -3.9215686274510517 
1646054173.2701006 3.8731959486249252 1.6753910873449058 -0.006530916674819309  4.9170455735584255 14.413625453802524 14.703057226994133 14.992489000185742 15.281920773377351 -3.9215686274510517 -3.9215686274510517 -11.764705882352928 -3.9215686274510517 
1646054173.28674 4.382862227699661 6.192887651886849 0.09691573832242284  5.021702947902668 15.339802471404255 14.58727054787596 14.818820623047941 15.629234244595864 -3.9215686274510517 -3.9215686274510517 -11.764705882352928 -3.9215686274510517 
1646054173.3029504 -0.41887398668040987 2.5396351537201554 0.19994329816108802  5.329085963727266 14.703057226994133 15.281920773377351 16.03442941384128 14.818820623047941 -3.9215686274510517 -3.9215686274510517 -11.764705882352928 -3.9215686274510517 
1646054173.3194964 5.74880976514396 1.8708291296716197 0.2532149494436453  5.14617421002913 15.166134094266454 15.166134094266454 15.976547715814377 15.57132926351187 -3.9215686274510517 -3.9215686274510517 -11.764705882352928 -3.9215686274510517 
1646054173.335716 6.416824165004073 7.310358326365531 0.35756964395113755  5.2085262564141885 15.10825239623955 15.455565867458063 15.86076103670348 16.208097790986358 -3.9215686274510517 -3.9215686274510517 -11.764705882352928 -3.9215686274510517 
1646054173.3524485 -1.8628896389636793 -3.8488186144677456 0.4090717823419254  5.2560004246697645 15.687115942622768 15.744997640649672 15.976547715814377 15.166134094266454 -3.9215686274510517 -3.9215686274510517 -11.764705882352928 -3.9215686274510517 
1646054173.3645928 -1.8628896389636793 -3.8488186144677456 0.4090717823419254  5.2560004246697645 15.687115942622768 15.744997640649672 15.976547715814377 15.166134094266454 -3.9215686274510517 -3.9215686274510517 -11.764705882352928 -3.9215686274510517 
1646054173.3855138 -1.8628896389636793 -3.8488186144677456 0.4090717823419254  5.2560004246697645 15.687115942622768 15.744997640649672 15.976547715814377 15.166134094266454 -3.9215686274510517 -3.9215686274510517 -11.764705882352928 -3.9215686274510517 
1646054173.3972297 -1.8628896389636793 -3.8488186144677456 0.4090717823419254  5.2560004246697645 15.687115942622768 15.744997640649672 15.976547715814377 15.166134094266454 -3.9215686274510517 -3.9215686274510517 -11.764705882352928 -3.9215686274510517 
1646054173.4244163 -1.8628896389636793 -3.8488186144677456 0.4090717823419254  5.2560004246697645 15.687115942622768 15.744997640649672 15.976547715814377 15.166134094266454 -3.9215686274510517 -3.9215686274510517 -11.764705882352928 -3.9215686274510517 
1646054173.4352822 -1.8628896389636793 -3.8488186144677456 0.4090717823419254  5.2560004246697645 15.687115942622768 15.744997640649672 15.976547715814377 15.166134094266454 -3.9215686274510517 -3.9215686274510517 -11.764705882352928 -3.9215686274510517 
1646054173.4463096 -1.8628896389636793 -3.8488186144677456 0.4090717823419254  5.2560004246697645 15.687115942622768 15.744997640649672 15.976547715814377 15.166134094266454 -3.9215686274510517 -3.9215686274510517 -11.764705882352928 -3.9215686274510517 
1646054173.4675198 -1.8628896389636793 -3.8488186144677456 0.4090717823419254  5.2560004246697645 15.687115942622768 15.744997640649672 15.976547715814377 15.166134094266454 -3.9215686274510517 -3.9215686274510517 -11.764705882352928 -3.9215686274510517 
1646054173.4790516 3.3209216617469792 3.3774296589763253 1.0845134797418723  4.740210699659656 14.008407001492742 13.83476190741203 13.545330134220421 14.182075378630543 -3.9215686274510517 -3.9215686274510517 -11.764705882352928 -3.9215686274510517 
