[14:24:51.676, YELLOW, BASESTATION] {id:  7, hasBall: false, ballPos: -0.033333, ballSensorWorks: false, velocity: { x = 0.52995, y = 0.00390631 }, angle: -2.8299, xSensCalib:  true, capacitorCharged: false, wheelLocked:    0, wheelBraking:    0, battery: 0.000000, signalStrength:   0}

[14:24:51.693, YELLOW, BASESTATION] {id:  7, hasBall: false, ballPos: -0.033333, ballSensorWorks: false, velocity: { x = -0.519788, y = 0.0375982 }, angle: -3.05367, xSensCalib:  true, capacitorCharged: false, wheelLocked:    0, wheelBraking:    0, battery: 0.000000, signalStrength:   0}

[14:24:51.709, YELLOW, BASESTATION] {id:  7, hasBall: false, ballPos: -0.033333, ballSensorWorks: false, velocity: { x = -1.18593, y = 0.0229496 }, angle: 3.00679, xSensCalib:  true, capacitorCharged: false, wheelLocked:    0, wheelBraking:    0, battery: 0.000000, signalStrength:   0}

[14:24:51.725, YELLOW, BASESTATION] {id:  7, hasBall: false, ballPos: -0.033333, ballSensorWorks: false, velocity: { x = -0.863692, y = 0.0263676 }, angle: 2.89433, xSensCalib:  true, capacitorCharged: false, wheelLocked:    0, wheelBraking:    0, battery: 0.000000, signalStrength:   0}

[14:24:51.758, YELLOW, BASESTATION] {id:  7, hasBall: false, ballPos: -0.033333, ballSensorWorks: false, velocity: { x = -0.450566, y = 0.0159915 }, angle: 2.44563, xSensCalib:  true, capacitorCharged: false, wheelLocked:    0, wheelBraking:    0, battery: 0.000000, signalStrength:   0}

[14:24:51.791, YELLOW, BASESTATION] {id:  7, hasBall: false, ballPos: -0.033333, ballSensorWorks: false, velocity: { x = -0.749025, y = 0.0174563 }, angle: 2.10758, xSensCalib:  true, capacitorCharged: false, wheelLocked:    0, wheelBraking:    0, battery: 0.000000, signalStrength:   0}

[14:24:51.807, YELLOW, BASESTATION] {id:  7, hasBall: false, ballPos: -0.033333, ballSensorWorks: false, velocity: { x = -0.891208, y = 0.0175784 }, angle: 1.88256, xSensCalib:  true, capacitorCharged: false, wheelLocked:    0, wheelBraking:    0, battery: 0.000000, signalStrength:   0}

[14:24:51.823, YELLOW, BASESTATION] {id:  7, hasBall: false, ballPos: -0.033333, ballSensorWorks: false, velocity: { x = -0.303301, y = 0.0275883 }, angle: 1.76923, xSensCalib:  true, capacitorCharged: false, wheelLocked:    0, wheelBraking:    0, battery: 0.000000, signalStrength:   0}

[14:24:51.840, YELLOW, BASESTATION] {id:  7, hasBall: false, ballPos: -0.033333, ballSensorWorks: false, velocity: { x = -0.502243, y = 0.0362554 }, angle: 1.54354, xSensCalib:  true, capacitorCharged: false, wheelLocked:    0, wheelBraking:    0, battery: 0.000000, signalStrength:   0}

[14:24:51.856, YELLOW, BASESTATION] {id:  7, hasBall: false, ballPos: -0.033333, ballSensorWorks: false, velocity: { x = -0.016155, y = 0.0224613 }, angle: 1.43089, xSensCalib:  true, capacitorCharged: false, wheelLocked:    0, wheelBraking:    0, battery: 0.000000, signalStrength:   0}

[14:24:51.872, YELLOW, BASESTATION] {id:  7, hasBall: false, ballPos: -0.033333, ballSensorWorks: false, velocity: { x = -0.8519, y = 0.016968 }, angle: 1.2051, xSensCalib:  true, capacitorCharged: false, wheelLocked:    0, wheelBraking:    0, battery: 0.000000, signalStrength:   0}

[14:24:51.888, YELLOW, BASESTATION] {id:  7, hasBall: false, ballPos: -0.033333, ballSensorWorks: false, velocity: { x = -0.255651, y = 0.0310063 }, angle: 0.979414, xSensCalib:  true, capacitorCharged: false, wheelLocked:    0, wheelBraking:    0, battery: 0.000000, signalStrength:   0}

[14:24:51.905, YELLOW, BASESTATION] {id:  7, hasBall: false, ballPos: -0.033333, ballSensorWorks: false, velocity: { x = -0.187484, y = 0.0255131 }, angle: 0.866569, xSensCalib:  true, capacitorCharged: false, wheelLocked:    0, wheelBraking:    0, battery: 0.000000, signalStrength:   0}

