[14:24:51.497] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: -0.125787, xSensAcc2: 2.970116, xSensYaw: -0.828423, rateOfTurn: -11.009595, wheelSp1: %&7f, wheelSp2: -32.242538, wheelSp3: -30.679640, wheelSp4: -31.953131

[14:24:51.513] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: -1.294015, xSensAcc2: -0.452751, xSensYaw: -1.049193, rateOfTurn: -10.998186, wheelSp1: %&7f, wheelSp2: -32.879307, wheelSp3: -31.953131, wheelSp4: -32.705639

[14:24:51.546] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: -1.642376, xSensAcc2: -0.534870, xSensYaw: -1.381326, rateOfTurn: -11.028827, wheelSp1: %&7f, wheelSp2: -32.705639, wheelSp3: -31.547913, wheelSp4: -31.374268

[14:24:51.562] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 1.806312, xSensAcc2: -1.049309, xSensYaw: -1.603726, rateOfTurn: -11.063169, wheelSp1: %&7f, wheelSp2: -32.937191, wheelSp3: -31.895226, wheelSp4: -33.226620

[14:24:51.579] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: -2.350484, xSensAcc2: -5.054439, xSensYaw: -1.713645, rateOfTurn: -11.060026, wheelSp1: %&7f, wheelSp2: -32.937191, wheelSp3: -32.068893, wheelSp4: -33.400265

[14:24:51.595] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 1.254433, xSensAcc2: -1.317135, xSensYaw: -1.937395, rateOfTurn: -11.091249, wheelSp1: %&7f, wheelSp2: -32.821404, wheelSp3: -32.068893, wheelSp4: -32.184658

[14:24:51.611] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 0.568025, xSensAcc2: 1.586939, xSensYaw: -2.159492, rateOfTurn: -11.101144, wheelSp1: %&7f, wheelSp2: -32.705639, wheelSp3: -32.068893, wheelSp4: -32.705639

[14:24:51.628] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: -1.475413, xSensAcc2: -1.213292, xSensYaw: -2.271368, rateOfTurn: -11.126452, wheelSp1: %&7f, wheelSp2: -32.937191, wheelSp3: -31.837343, wheelSp4: -32.705639

[14:24:51.644] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: -0.238058, xSensAcc2: -3.969425, xSensYaw: -2.495327, rateOfTurn: -11.136907, wheelSp1: %&7f, wheelSp2: -32.995071, wheelSp3: -32.126774, wheelSp4: -32.995071

[14:24:51.661] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: -0.198057, xSensAcc2: -3.886514, xSensYaw: -2.719218, rateOfTurn: -11.156511, wheelSp1: %&7f, wheelSp2: -33.284504, wheelSp3: -32.184658, wheelSp4: -32.531994

[14:24:51.677] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: -3.859575, xSensAcc2: -2.615608, xSensYaw: -2.829835, rateOfTurn: -11.150900, wheelSp1: %&7f, wheelSp2: -32.995071, wheelSp3: -33.110836, wheelSp4: -32.879307

[14:24:51.693] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 1.225306, xSensAcc2: -0.058895, xSensYaw: -3.053679, rateOfTurn: -11.145125, wheelSp1: %&7f, wheelSp2: -33.168739, wheelSp3: -32.068893, wheelSp4: -32.416206

[14:24:51.709] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: -0.560435, xSensAcc2: -0.364694, xSensYaw: 3.006833, rateOfTurn: -11.140423, wheelSp1: %&7f, wheelSp2: -32.705639, wheelSp3: -32.011013, wheelSp4: -33.400265

[14:24:51.726] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 1.934997, xSensAcc2: 0.286580, xSensYaw: 2.894353, rateOfTurn: -11.159305, wheelSp1: %&7f, wheelSp2: -32.821404, wheelSp3: -31.837343, wheelSp4: -32.647758

[14:24:51.758] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: -4.923961, xSensAcc2: -4.301744, xSensYaw: 2.445642, rateOfTurn: -11.195277, wheelSp1: %&7f, wheelSp2: -33.573933, wheelSp3: -32.937191, wheelSp4: -33.110836

