[15:35:12.464] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 0.491587, xSensAcc2: -0.342948, xSensYaw: -1.056853, rateOfTurn: -0.257755, wheelSp1: %&7f, wheelSp2: -0.520994, wheelSp3: -0.405207, wheelSp4: -0.115775

[15:35:12.481] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: -0.197126, xSensAcc2: -0.207836, xSensYaw: -1.057645, rateOfTurn: -0.197662, wheelSp1: %&7f, wheelSp2: -0.520994, wheelSp3: -0.231562, wheelSp4: -0.057893

[15:35:12.497] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: -0.228186, xSensAcc2: -0.314426, xSensYaw: -1.059042, rateOfTurn: -0.121060, wheelSp1: %&7f, wheelSp2: -0.289443, wheelSp3: -0.115775, wheelSp4: -0.000012

[15:35:12.513] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 0.079151, xSensAcc2: -0.238407, xSensYaw: -1.059065, rateOfTurn: -0.091561, wheelSp1: %&7f, wheelSp2: -0.173680, wheelSp3: -0.057893, wheelSp4: -0.000012

[15:35:12.530] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 0.079151, xSensAcc2: -0.238407, xSensYaw: -1.059065, rateOfTurn: -0.091561, wheelSp1: %&7f, wheelSp2: -0.173680, wheelSp3: -0.057893, wheelSp4: -0.000012

[15:35:12.546] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 0.079151, xSensAcc2: -0.238407, xSensYaw: -1.059065, rateOfTurn: -0.091561, wheelSp1: %&7f, wheelSp2: -0.173680, wheelSp3: -0.057893, wheelSp4: -0.000012

[15:35:12.562] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 0.079151, xSensAcc2: -0.238407, xSensYaw: -1.059065, rateOfTurn: -0.091561, wheelSp1: %&7f, wheelSp2: -0.173680, wheelSp3: -0.057893, wheelSp4: -0.000012

[15:35:12.578] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 0.079151, xSensAcc2: -0.238407, xSensYaw: -1.059065, rateOfTurn: -0.091561, wheelSp1: %&7f, wheelSp2: -0.173680, wheelSp3: -0.057893, wheelSp4: -0.000012

[15:35:12.595] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 0.079151, xSensAcc2: -0.238407, xSensYaw: -1.059065, rateOfTurn: -0.091561, wheelSp1: %&7f, wheelSp2: -0.173680, wheelSp3: -0.057893, wheelSp4: -0.000012

[15:35:12.611] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 0.079151, xSensAcc2: -0.238407, xSensYaw: -1.059065, rateOfTurn: -0.091561, wheelSp1: %&7f, wheelSp2: -0.173680, wheelSp3: -0.057893, wheelSp4: -0.000012

[15:35:12.627] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 0.079151, xSensAcc2: -0.238407, xSensYaw: -1.059065, rateOfTurn: -0.091561, wheelSp1: %&7f, wheelSp2: -0.173680, wheelSp3: -0.057893, wheelSp4: -0.000012

[15:35:12.644] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 0.047905, xSensAcc2: -0.245555, xSensYaw: 0.346231, rateOfTurn: 0.005576, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[15:35:12.660] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 0.094029, xSensAcc2: -0.230467, xSensYaw: 0.346161, rateOfTurn: 0.005180, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[15:35:12.676] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 0.118755, xSensAcc2: -0.261527, xSensYaw: 0.346114, rateOfTurn: 0.003434, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[15:35:12.693] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 0.114681, xSensAcc2: -0.270770, xSensYaw: 0.346068, rateOfTurn: 0.001106, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[15:35:12.709] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 0.116893, xSensAcc2: -0.269234, xSensYaw: 0.346068, rateOfTurn: 0.001106, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[15:35:12.725] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 0.101083, xSensAcc2: -0.273820, xSensYaw: 0.346114, rateOfTurn: 0.002666, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[15:35:12.742] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 0.077824, xSensAcc2: -0.250770, xSensYaw: 0.346207, rateOfTurn: 0.004645, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[15:35:12.758] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 0.077870, xSensAcc2: -0.252796, xSensYaw: 0.346161, rateOfTurn: 0.004389, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[15:35:12.774] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 0.111514, xSensAcc2: -0.276614, xSensYaw: 0.346138, rateOfTurn: 0.003620, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[15:35:12.791] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 0.104809, xSensAcc2: -0.269699, xSensYaw: 0.346114, rateOfTurn: 0.002433, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[15:35:12.807] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 0.080082, xSensAcc2: -0.267418, xSensYaw: 0.346114, rateOfTurn: 0.002689, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[15:35:12.839] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 0.095868, xSensAcc2: -0.258966, xSensYaw: 0.346091, rateOfTurn: 0.002875, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[15:35:12.856] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 0.088767, xSensAcc2: -0.247045, xSensYaw: 0.346114, rateOfTurn: 0.002992, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[15:35:12.872] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 0.089745, xSensAcc2: -0.266719, xSensYaw: 0.353891, rateOfTurn: 0.002619, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[15:35:12.888] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 0.095938, xSensAcc2: -0.259408, xSensYaw: 0.353914, rateOfTurn: 0.002596, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[15:35:12.905] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 0.093027, xSensAcc2: -0.262482, xSensYaw: 0.353914, rateOfTurn: 0.002782, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[15:35:12.921] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 0.097242, xSensAcc2: -0.245671, xSensYaw: 0.353914, rateOfTurn: 0.003364, wheelSp1: %&7f, wheelSp2: -0.057893, wheelSp3: -0.000012, wheelSp4: -0.000012

[15:35:12.937] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 0.105484, xSensAcc2: -0.260037, xSensYaw: 0.353914, rateOfTurn: 0.003271, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[15:35:12.954] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 0.097800, xSensAcc2: -0.257196, xSensYaw: 0.353891, rateOfTurn: 0.002992, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[15:35:12.970] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 0.097288, xSensAcc2: -0.257266, xSensYaw: 0.353914, rateOfTurn: 0.003015, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[15:35:12.986] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 0.093074, xSensAcc2: -0.255893, xSensYaw: 0.353891, rateOfTurn: 0.002922, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[15:35:13.002] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 0.088837, xSensAcc2: -0.272121, xSensYaw: 0.353891, rateOfTurn: 0.002875, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[15:35:13.019] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 0.101340, xSensAcc2: -0.252703, xSensYaw: 0.353891, rateOfTurn: 0.002922, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[15:35:13.035] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 0.094168, xSensAcc2: -0.269909, xSensYaw: 0.353891, rateOfTurn: 0.003062, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[15:35:13.051] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 0.088883, xSensAcc2: -0.253890, xSensYaw: 0.353914, rateOfTurn: 0.003620, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[15:35:13.068] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 0.087882, xSensAcc2: -0.277639, xSensYaw: 0.353868, rateOfTurn: 0.003132, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[15:35:13.084] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 0.098150, xSensAcc2: -0.260922, xSensYaw: 0.356405, rateOfTurn: 0.003225, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[15:35:13.100] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 0.104436, xSensAcc2: -0.271259, xSensYaw: 0.356405, rateOfTurn: 0.002992, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[15:35:13.117] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 0.095752, xSensAcc2: -0.260177, xSensYaw: 0.356405, rateOfTurn: 0.003388, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[15:35:13.133] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 0.099989, xSensAcc2: -0.257290, xSensYaw: 0.356405, rateOfTurn: 0.003271, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[15:35:13.149] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 0.107137, xSensAcc2: -0.265997, xSensYaw: 0.356382, rateOfTurn: 0.002852, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[15:35:13.166] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 0.091910, xSensAcc2: -0.277848, xSensYaw: 0.356382, rateOfTurn: 0.002852, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[15:35:13.182] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 0.096776, xSensAcc2: -0.273145, xSensYaw: 0.356382, rateOfTurn: 0.002689, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[15:35:13.215] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 0.085926, xSensAcc2: -0.250468, xSensYaw: 0.356359, rateOfTurn: 0.002573, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[15:35:13.231] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 0.085926, xSensAcc2: -0.250468, xSensYaw: 0.356359, rateOfTurn: 0.002573, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[15:35:13.264] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 0.090816, xSensAcc2: -0.258454, xSensYaw: 0.356382, rateOfTurn: 0.003178, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[15:35:13.280] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 0.103784, xSensAcc2: -0.259758, xSensYaw: 0.356382, rateOfTurn: 0.003644, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[15:35:13.296] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 0.102574, xSensAcc2: -0.260246, xSensYaw: 0.357663, rateOfTurn: 0.003225, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[15:35:13.312] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 0.082084, xSensAcc2: -0.263529, xSensYaw: 0.357639, rateOfTurn: 0.003178, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[15:35:13.329] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 0.094727, xSensAcc2: -0.247022, xSensYaw: 0.357663, rateOfTurn: 0.003015, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[15:35:13.345] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 0.111444, xSensAcc2: -0.273006, xSensYaw: 0.357663, rateOfTurn: 0.003201, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[15:35:13.361] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 0.081642, xSensAcc2: -0.255124, xSensYaw: 0.357663, rateOfTurn: 0.003434, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[15:35:13.378] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 0.104366, xSensAcc2: -0.257522, xSensYaw: 0.357663, rateOfTurn: 0.003388, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[15:35:13.394] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 0.080478, xSensAcc2: -0.258826, xSensYaw: 0.357686, rateOfTurn: 0.003551, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[15:35:13.411] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 0.085810, xSensAcc2: -0.259944, xSensYaw: 0.357663, rateOfTurn: 0.003318, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[15:35:13.427] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 0.089651, xSensAcc2: -0.272121, xSensYaw: 0.357663, rateOfTurn: 0.003295, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[15:35:13.443] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 0.088976, xSensAcc2: -0.253751, xSensYaw: 0.357639, rateOfTurn: 0.002782, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[15:35:13.460] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 0.094448, xSensAcc2: -0.255613, xSensYaw: 0.357616, rateOfTurn: 0.002270, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[15:35:13.476] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 0.099640, xSensAcc2: -0.250351, xSensYaw: 0.357616, rateOfTurn: 0.002293, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[15:35:13.492] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 0.090862, xSensAcc2: -0.278244, xSensYaw: 0.357593, rateOfTurn: 0.002433, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

