[14:24:35.946] { id: 7, vel: { 0, 0}, pos: { -0.354391, 0.488046}, angle: 3.03395, w: 0 }
[14:24:36.886] { id: 7, vel: { -7.46453e-05, 8.41831e-05}, pos: { -0.354371, 0.48811}, angle: 3.03571, w: -0.00394462 }

[14:24:36.896] { id: 7, vel: { -8.73622e-05, 8.64386e-05}, pos: { -0.354375, 0.488112}, angle: 3.03579, w: -0.00219301 }

[14:24:36.906] { id: 7, vel: { -9.00696e-05, 0.000149559}, pos: { -0.354376, 0.488123}, angle: 3.03594, w: 6.57617e-05 }

[14:24:36.916] { id: 7, vel: { -9.00696e-05, 0.000149559}, pos: { -0.354376, 0.488123}, angle: 3.03594, w: 6.57617e-05 }

[14:24:36.926] { id: 7, vel: { -0.000130119, 0.000151848}, pos: { -0.354384, 0.488126}, angle: 3.03579, w: -0.00175615 }

[14:24:36.936] { id: 7, vel: { -0.000130119, 0.000151848}, pos: { -0.354384, 0.488126}, angle: 3.03579, w: -0.00175615 }

[14:24:36.946] { id: 7, vel: { -7.5189e-05, 0.000107863}, pos: { -0.354378, 0.488122}, angle: 3.03577, w: -0.00163521 }

[14:24:36.956] { id: 7, vel: { -0.000152223, 0.000130334}, pos: { -0.354391, 0.488127}, angle: 3.03561, w: -0.0032952 }

[14:24:36.966] { id: 7, vel: { -0.000152223, 0.000130334}, pos: { -0.354391, 0.488127}, angle: 3.03561, w: -0.0032952 }

[14:24:36.976] { id: 7, vel: { -0.00013146, 0.00011119}, pos: { -0.354391, 0.488126}, angle: 3.03564, w: -0.0021823 }

[14:24:36.986] { id: 7, vel: { -0.00013146, 0.00011119}, pos: { -0.354391, 0.488126}, angle: 3.03564, w: -0.0021823 }

[14:24:36.996] { id: 7, vel: { -5.16677e-05, 4.35833e-05}, pos: { -0.35438, 0.488117}, angle: 3.03584, w: 0.000601649 }

[14:24:37.006] { id: 7, vel: { -5.16677e-05, 4.35833e-05}, pos: { -0.35438, 0.488117}, angle: 3.03584, w: 0.000601649 }

[14:24:37.016] { id: 7, vel: { -5.47649e-05, 3.83066e-05}, pos: { -0.354381, 0.488117}, angle: 3.03592, w: 0.00150374 }

[14:24:37.026] { id: 7, vel: { -5.9664e-05, 2.51082e-05}, pos: { -0.354383, 0.488115}, angle: 3.03583, w: 0.000137555 }

[14:24:37.036] { id: 7, vel: { -5.9664e-05, 2.51082e-05}, pos: { -0.354383, 0.488115}, angle: 3.03583, w: 0.000137555 }

[14:24:37.046] { id: 7, vel: { -9.42005e-05, -0.000127338}, pos: { -0.35439, 0.488091}, angle: 3.03573, w: -0.00115271 }

[14:24:37.056] { id: 7, vel: { -9.42968e-05, -0.000178096}, pos: { -0.354391, 0.488081}, angle: 3.0358, w: -7.29188e-05 }

[14:24:37.066] { id: 7, vel: { -9.42968e-05, -0.000178096}, pos: { -0.354391, 0.488081}, angle: 3.0358, w: -7.29188e-05 }

[14:24:37.076] { id: 7, vel: { -8.35258e-05, -0.000137115}, pos: { -0.354391, 0.488085}, angle: 3.03591, w: 0.0012812 }

[14:24:37.086] { id: 7, vel: { -8.35258e-05, -0.000137115}, pos: { -0.354391, 0.488085}, angle: 3.03591, w: 0.0012812 }

[14:24:37.096] { id: 7, vel: { -8.21746e-05, -0.000179926}, pos: { -0.354392, 0.488075}, angle: 3.03589, w: 0.000807169 }

[14:24:37.106] { id: 7, vel: { -0.000142306, -9.81824e-05}, pos: { -0.354403, 0.488086}, angle: 3.03601, w: 0.00208013 }

[14:24:37.116] { id: 7, vel: { -0.000142306, -9.81824e-05}, pos: { -0.354403, 0.488086}, angle: 3.03601, w: 0.00208013 }

[14:24:37.126] { id: 7, vel: { -5.64e-05, -1.13232e-05}, pos: { -0.354392, 0.488098}, angle: 3.03621, w: 0.00408747 }

[14:24:37.136] { id: 7, vel: { -5.64e-05, -1.13232e-05}, pos: { -0.354392, 0.488098}, angle: 3.03621, w: 0.00408747 }

[14:24:37.146] { id: 7, vel: { -4.56667e-05, 6.662e-06}, pos: { -0.354391, 0.488101}, angle: 3.03595, w: 0.000110238 }

[14:24:37.156] { id: 7, vel: { -4.56667e-05, 6.662e-06}, pos: { -0.354391, 0.488101}, angle: 3.03595, w: 0.000110238 }

[14:24:37.166] { id: 7, vel: { -8.31028e-07, -2.00849e-05}, pos: { -0.354384, 0.488096}, angle: 3.03607, w: 0.00157388 }

[14:24:37.176] { id: 7, vel: { -8.31028e-07, -2.00849e-05}, pos: { -0.354384, 0.488096}, angle: 3.03607, w: 0.00157388 }

[14:24:37.186] { id: 7, vel: { -0.000183998, -7.27497e-05}, pos: { -0.354414, 0.488088}, angle: 3.03598, w: 0.000111453 }

[14:24:37.196] { id: 7, vel: { -0.000216713, -7.30601e-06}, pos: { -0.354422, 0.488097}, angle: 3.03587, w: -0.00122248 }

[14:24:37.206] { id: 7, vel: { -0.000216713, -7.30601e-06}, pos: { -0.354422, 0.488097}, angle: 3.03587, w: -0.00122248 }

[14:24:37.216] { id: 7, vel: { -0.000190296, 0.000170944}, pos: { -0.354422, 0.488126}, angle: 3.03615, w: 0.00245946 }

[14:24:37.226] { id: 7, vel: { -0.000101005, 0.000159503}, pos: { -0.35441, 0.488127}, angle: 3.03633, w: 0.00409478 }

[14:24:37.236] { id: 7, vel: { -0.000101005, 0.000159503}, pos: { -0.35441, 0.488127}, angle: 3.03633, w: 0.00409478 }

[14:24:37.246] { id: 7, vel: { -0.000226896, 6.73155e-05}, pos: { -0.354432, 0.488114}, angle: 3.03631, w: 0.00308509 }

[14:24:37.256] { id: 7, vel: { -0.000226896, 6.73155e-05}, pos: { -0.354432, 0.488114}, angle: 3.03631, w: 0.00308509 }

[14:24:37.266] { id: 7, vel: { 4.33816e-05, 8.79511e-05}, pos: { -0.354393, 0.488119}, angle: 3.03647, w: 0.00437032 }

[14:24:37.276] { id: 7, vel: { -2.78222e-05, 3.50754e-05}, pos: { -0.354403, 0.488112}, angle: 3.03646, w: 0.00336496 }

[14:24:37.286] { id: 7, vel: { -2.78222e-05, 3.50754e-05}, pos: { -0.354403, 0.488112}, angle: 3.03646, w: 0.00336496 }

[14:24:37.296] { id: 7, vel: { -5.01912e-05, -5.02589e-05}, pos: { -0.354407, 0.488099}, angle: 3.03637, w: 0.0015939 }

[14:24:37.306] { id: 7, vel: { -0.00013604, -6.76575e-05}, pos: { -0.354422, 0.488095}, angle: 3.03667, w: 0.00484395 }

[14:24:37.316] { id: 7, vel: { -0.00013604, -6.76575e-05}, pos: { -0.354422, 0.488095}, angle: 3.03667, w: 0.00484395 }

[14:24:37.326] { id: 7, vel: { -0.000140153, -0.000193875}, pos: { -0.354425, 0.488073}, angle: 3.03667, w: 0.00390639 }

[14:24:37.336] { id: 7, vel: { -0.000140153, -0.000193875}, pos: { -0.354425, 0.488073}, angle: 3.03667, w: 0.00390639 }

[14:24:37.346] { id: 7, vel: { -8.8963e-05, -0.000143903}, pos: { -0.354419, 0.488078}, angle: 3.03688, w: 0.00562958 }

[14:24:37.356] { id: 7, vel: { -8.8963e-05, -0.000143903}, pos: { -0.354419, 0.488078}, angle: 3.03688, w: 0.00562958 }

[14:24:37.366] { id: 7, vel: { 2.20777e-05, -0.000214754}, pos: { -0.354403, 0.488065}, angle: 3.03685, w: 0.00418646 }

[14:24:37.376] { id: 7, vel: { 4.41472e-05, -0.000153911}, pos: { -0.354399, 0.488071}, angle: 3.03662, w: 0.000493555 }

[14:24:37.386] { id: 7, vel: { 4.41472e-05, -0.000153911}, pos: { -0.354399, 0.488071}, angle: 3.03662, w: 0.000493555 }

[14:24:37.396] { id: 7, vel: { 6.71532e-05, -3.85257e-05}, pos: { -0.354394, 0.488087}, angle: 3.03593, w: -0.00790294 }

[14:24:37.406] { id: 7, vel: { 0.000135114, -6.46296e-05}, pos: { -0.354382, 0.488082}, angle: 3.03559, w: -0.010487 }

